ecut,nkpts,alat,energy,total_force,run_time
90.0,480.0,4.85,-37.2909184,0.0,
90.0,480.0,4.9,-37.31367444,0.0,
90.0,480.0,4.95,-37.33317785,1e-06,
90.0,480.0,5.0,-37.34968434,2e-06,
90.0,480.0,5.05,-37.36344118,8.5e-05,
90.0,480.0,5.15,-37.38357439,4.8e-05,
90.0,480.0,5.2,-37.39036055,2.1e-05,
90.0,480.0,5.25,-37.39521342,0.0,
90.0,480.0,5.3,-37.39830469,0.0,
90.0,480.0,5.35,-37.39979629,0.0,
90.0,480.0,5.351,-37.39981086,0.0,
90.0,480.0,5.352,-37.39982486,0.0,
90.0,480.0,5.353,-37.39983829,0.0,
90.0,480.0,5.354,-37.39985113,0.0,
90.0,480.0,5.355,-37.3998634,0.0,
90.0,480.0,5.356,-37.3998751,0.0,
90.0,480.0,5.357,-37.39988622,0.0,
90.0,480.0,5.358,-37.39989677,0.0,
90.0,480.0,5.359,-37.39990675,0.0,
90.0,480.0,5.36,-37.39991616,0.0,
90.0,480.0,5.361,-37.399925,0.0,
90.0,480.0,5.362,-37.39993329,0.0,
90.0,480.0,5.363,-37.399941,0.0,
90.0,480.0,5.364,-37.39994815,0.0,
90.0,480.0,5.365,-37.39995473,0.0,
90.0,480.0,5.366,-37.39996075,0.0,
90.0,480.0,5.367,-37.39996621,0.0,
90.0,480.0,5.368,-37.39997111,0.0,
90.0,480.0,5.369,-37.39997512,0.0,
90.0,480.0,5.37,-37.3999789,0.0,
90.0,480.0,5.371,-37.39998214,0.0,
90.0,480.0,5.372,-37.39998481,0.0,
90.0,480.0,5.373,-37.39998693,0.0,
90.0,480.0,5.374,-37.3999885,0.0,
90.0,480.0,5.375,-37.39998952,0.0,
90.0,480.0,5.376,-37.39998999,0.0,
90.0,480.0,5.377,-37.39998991,0.0,
90.0,480.0,5.378,-37.39998928,0.0,
90.0,480.0,5.379,-37.39998809,0.0,
90.0,480.0,5.38,-37.39998636,0.0,
90.0,480.0,5.381,-37.3999841,0.0,
90.0,480.0,5.382,-37.39998128,0.0,
90.0,480.0,5.383,-37.39997793,0.0,
90.0,480.0,5.384,-37.39997402,0.0,
90.0,480.0,5.385,-37.39996958,0.0,
90.0,480.0,5.386,-37.39996461,0.0,
90.0,480.0,5.4,-37.39983889,0.0,
90.0,480.0,5.45,-37.39857348,0.0,
90.0,480.0,5.5,-37.39613049,0.0,
90.0,480.0,5.55,-37.39263222,0.0,
90.0,480.0,5.6,-37.38819109,0.0,
90.0,480.0,5.65,-37.38291259,0.0,
