nkpts,alat,energy,total_force,ecut
145.0,7.595,-12.46707023,0.0,80.0
145.0,7.596,-12.46707108,0.0,80.0
145.0,7.597,-12.46707184,0.0,80.0
145.0,7.598,-12.46707249,0.0,80.0
145.0,7.599,-12.46707306,0.0,80.0
145.0,7.6,-12.46707354,0.0,80.0
145.0,7.601,-12.46707392,0.0,80.0
145.0,7.602,-12.46707423,0.0,80.0
145.0,7.603,-12.46707443,0.0,80.0
145.0,7.604,-12.46707454,0.0,80.0
145.0,7.605,-12.46707456,0.0,80.0
145.0,7.606,-12.4670745,0.0,80.0
145.0,7.607,-12.46707432,0.0,80.0
145.0,7.608,-12.46707407,0.0,80.0
145.0,7.609,-12.46707371,0.0,80.0
145.0,7.61,-12.46707328,0.0,80.0
145.0,7.611,-12.46707274,0.0,80.0
145.0,7.612,-12.46707212,0.0,80.0
145.0,7.613,-12.46707141,0.0,80.0
145.0,7.614,-12.46707061,0.0,80.0
145.0,7.615,-12.46706971,0.0,80.0
